Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Rheem_rm_loginMetaData,5,789,746,747,995,995,723,995,0.000%,.24122,1.77,0.08
RMP_Login,5,753,754,779,865,865,623,865,0.000%,.24563,0.23,0.10
Get_User_info,5,898,883,942,994,994,829,994,0.000%,.24449,1.73,0.17
Rheem_getAppPreferences,5,653,650,653,726,726,606,726,0.000%,.24824,0.37,0.19
Login_Cont,5,3095,3147,3170,3410,3410,2821,3410,0.000%,.21069,3.55,0.46
Rheem_rm_manageUsers,5,1185,1075,1203,1520,1520,1064,1520,0.000%,.24413,0.15,0.19
Rheem_rm_subscription_plans,10,767,735,845,845,961,679,961,0.000%,.32782,0.21,0.24
User_Profile Cont,5,1926,1799,2048,2279,2279,1744,2279,0.000%,.21587,0.27,0.33
Rheem_rm_deviceAlertsList,5,1474,397,407,5954,5954,306,5954,0.000%,.19751,0.13,0.14
Rheem_rm_alert_notification,10,975,825,1179,1179,1700,661,1700,0.000%,.11660,0.56,0.08
Rheem_rm_userFeedback,5,691,698,714,774,774,628,774,0.000%,.20472,0.12,0.14
Rheem_rheem_getAppPreferences,5,672,697,698,717,717,623,717,0.000%,.20599,0.31,0.16
Rheem_rm_alertsOverview ,5,728,713,754,850,850,620,850,0.000%,.20612,0.13,0.15
Rheem_rm_deviceAlertsList(Lat_Long),5,23465,25226,28788,32213,32213,15251,32213,0.000%,.08989,104.92,0.08
Device _ Management_Cont,5,28883,29327,32874,41574,41574,20079,41574,0.000%,.07359,86.55,0.38
Rheem_rm_deviceAlertsList ,5,10496,6271,20495,25003,25003,311,25003,0.000%,.12262,0.08,0.10
Rheem_rm_product_info,5,814,747,763,1136,1136,686,1136,0.000%,.30281,0.18,0.25
Rheem_rm_product_info_read,5,823,713,935,1149,1149,660,1149,0.000%,.29605,0.49,0.23
Rheem_rm_myrheemWarrantyOverview,5,1337,1258,1389,1645,1645,1139,1645,0.000%,.28790,0.98,0.23
Rheem_rm_deviceTemperatureDetails,10,732,712,789,789,830,692,830,0.000%,.24745,0.31,0.21
Rheem_rm_bidirectionaldisable,5,1064,752,1242,2075,2075,620,2075,0.000%,.27532,0.18,0.24
Rheem_rm_stream_get_bidirectional_session,5,248,252,252,257,257,241,257,0.000%,.28965,0.16,0.24
Rheem_rm_remoteAccessHistory,5,541,444,447,946,946,428,946,0.000%,.28652,0.16,0.23
Rheem_rm_deviceNotes,5,700,706,729,746,746,633,746,0.000%,.28201,0.17,0.22
Rheem_rm_deviceAlerts,5,986,963,1037,1393,1393,761,1393,0.000%,.28085,1.20,0.22
Rheem_rm_deviceLocationContactOverview,5,1145,1130,1257,1288,1288,983,1288,0.000%,.27963,0.23,0.26
Rheem_rm_deviceHealthStatus,10,954,726,1764,1764,2035,637,2035,0.000%,.48976,0.82,0.39
Rheem_rm_deviceAlertsList(LatestAlerts),5,329,313,319,407,407,303,407,0.000%,.29471,0.19,0.23
Device_Details_Cont,5,20852,16719,30540,35132,35132,10524,35132,0.000%,.07607,1.65,0.86
Rheem_rm_deviceSchedule,5,1369,1365,1462,1531,1531,1240,1531,0.000%,.27809,0.48,0.23
Rheem_rm_detailswarrantyOverview,5,644,629,653,708,708,611,708,0.000%,.28817,0.32,0.23
Scheduling_Page_Cont,5,3921,3441,4629,4851,4851,3311,4851,0.000%,.20798,1.27,0.69
Rheem_rm_myRheem,5,716,756,844,884,884,546,884,0.000%,.28954,0.75,0.20
User_Management_Cont,5,716,756,844,884,884,546,884,0.000%,.27366,0.71,0.19
Rheem_rm_remoteAccessSessions,5,768,810,826,846,846,667,846,0.000%,.29204,0.16,0.21
Remote_Sessions_Cont,5,768,810,826,846,846,667,846,0.000%,.27592,0.15,0.20
Rheem_rm_submitFeedback,5,1528,1514,1578,1658,1658,1425,1658,0.000%,.28123,0.18,0.23
Faq_Feedback_Cont,5,1528,1514,1578,1658,1658,1425,1658,0.000%,.26625,0.17,0.22
Rheem_rm_userSettings,5,1110,1054,1131,1309,1309,1024,1309,0.000%,.28453,0.64,0.21
Settings_Cont,5,1110,1054,1131,1309,1309,1024,1309,0.000%,.26919,0.60,0.20
Rheem_rm_findMyDevices,5,11193,10820,11644,12617,12617,10393,12617,0.000%,.18579,0.22,0.14
Find_my_device_Cont,5,11193,10820,11644,12617,12617,10393,12617,0.000%,.17913,0.21,0.13
Logout,5,239,239,240,241,241,238,241,0.000%,.34088,0.17,0.20
Logout_Cont,5,239,239,240,241,241,238,241,0.000%,.31910,0.16,0.19
TOTAL,240,3093,811,10491,16719,32874,238,41574,0.000%,1.85395,94.99,2.16
