Label,# Samples,Average Time(MS),Error %,Throughput,Request Per Sec
Rheem_rm_loginMetaData,5,789,0.000%,0.24122,14.47
RMP_Login,5,753,0.000%,0.24563,14.74
Get_User_info,5,898,0.000%,0.24449,14.67
Rheem_getAppPreferences,5,653,0.000%,0.24824,14.89
Rheem_rm_manageUsers,5,1185,0.000%,0.24413,14.65
Rheem_rm_subscription_plans,10,767,0.000%,0.32782,19.67
Rheem_rm_deviceAlertsList,5,1474,0.000%,0.19751,11.85
Rheem_rm_alert_notification,10,975,0.000%,0.1166,7
Rheem_rm_userFeedback,5,691,0.000%,0.20472,12.28
Rheem_rheem_getAppPreferences,5,672,0.000%,0.20599,12.36
Rheem_rm_alertsOverview ,5,728,0.000%,0.20612,12.37
Rheem_rm_deviceAlertsList(Lat_Long),5,23465,0.000%,0.08989,5.39
Rheem_rm_deviceAlertsList ,5,10496,0.000%,0.12262,7.36
Rheem_rm_product_info,5,814,0.000%,0.30281,18.17
Rheem_rm_product_info_read,5,823,0.000%,0.29605,17.76
Rheem_rm_myrheemWarrantyOverview,5,1337,0.000%,0.2879,17.27
Rheem_rm_deviceTemperatureDetails,10,732,0.000%,0.24745,14.85
Rheem_rm_bidirectionaldisable,5,1064,0.000%,0.27532,16.52
Rheem_rm_stream_get_bidirectional_session,5,248,0.000%,0.28965,17.38
Rheem_rm_remoteAccessHistory,5,541,0.000%,0.28652,17.19
Rheem_rm_deviceNotes,5,700,0.000%,0.28201,16.92
Rheem_rm_deviceAlerts,5,986,0.000%,0.28085,16.85
Rheem_rm_deviceLocationContactOverview,5,1145,0.000%,0.27963,16.78
Rheem_rm_deviceHealthStatus,10,954,0.000%,0.48976,29.39
Rheem_rm_deviceAlertsList(LatestAlerts),5,329,0.000%,0.29471,17.68
Rheem_rm_deviceSchedule,5,1369,0.000%,0.27809,16.69
Rheem_rm_detailswarrantyOverview,5,644,0.000%,0.28817,17.29
Rheem_rm_myRheem,5,716,0.000%,0.28954,17.37
Rheem_rm_remoteAccessSessions,5,768,0.000%,0.29204,17.52
Rheem_rm_submitFeedback,5,1528,0.000%,0.28123,16.87
Rheem_rm_userSettings,5,1110,0.000%,0.28453,17.07
Find_my_device,5,11193,0.000%,0.17913,10.75
Logout,5,239,0.000%,0.34088,20.45
TOTAL,185,70786,0.000%,1.85395,15.53
