S No,Label,# of Samples,Average Time(MS),Error %,Equivalent RPS (sec)
1,Rheem_rm_loginMetaData,5,789,0.000%,17.90
2,RMP_Login,5,753,0.000%,18.22
3,Get_User_info,5,898,0.000%,18.15
4,Rheem_getAppPreferences,5,653,0.000%,18.42
5,Rheem_rm_manageUsers,5,1185,0.000%,18.12
6,Rheem_rm_subscription_plans,10,767,0.000%,24.33
7,Rheem_rm_deviceAlertsList,5,1474,0.000%,14.66
8,Rheem_rm_alert_notification,10,975,0.000%,8.65
9,Rheem_rm_userFeedback,5,691,0.000%,15.20
10,Rheem_rheem_getAppPreferences,5,672,0.000%,15.28
11,Rheem_rm_alertsOverview,5,728,0.000%,15.29
12,Rheem_rm_deviceAlertsList(Lat_Long),5,23465,0.000%,6.67
13,Rheem_rm_deviceAlertsList,5,10496,0.000%,9.10
14,Rheem_rm_product_info,5,814,0.000%,22.47
15,Rheem_rm_product_info_read,5,823,0.000%,21.96
16,Rheem_rm_myrheemWarrantyOverview,5,1337,0.000%,21.37
17,Rheem_rm_deviceTemperatureDetails,10,732,0.000%,18.36
18,Rheem_rm_bidirectionaldisable,5,1064,0.000%,20.42
19,Rheem_rm_stream_get_bidirectional_session,5,248,0.000%,21.50
20,Rheem_rm_remoteAccessHistory,5,541,0.000%,21.27
21,Rheem_rm_deviceNotes,5,700,0.000%,20.93
22,Rheem_rm_deviceAlerts,5,986,0.000%,20.82
23,Rheem_rm_deviceLocationContactOverview,5,1145,0.000%,20.73
24,Rheem_rm_deviceHealthStatus,10,954,0.000%,36.33
25,Rheem_rm_deviceAlertsList(LatestAlerts),5,329,0.000%,21.87
26,Rheem_rm_deviceSchedule,5,1369,0.000%,20.64
27,Rheem_rm_detailswarrantyOverview,5,644,0.000%,21.39
28,Rheem_rm_myRheem,5,716,0.000%,21.49
29,Rheem_rm_remoteAccessSessions,5,768,0.000%,21.65
30,Rheem_rm_submitFeedback,5,1528,0.000%,20.85
31,Rheem_rm_userSettings,5,1110,0.000%,21.12
32,Find_my_device,5,11193,0.000%,13.30
33,Logout,5,239,0.000%,25.30
TOTAL,13726,70786,0.000%,137.6

