S No,Label,# of Samples,Average Time(MS),Error %,13.2 RPS (sec),13.3 RPS (sec),Requests Per Minute
1,Rheem_rm_loginMetaData,5,789,0.000%,0.24122,0.302,14.47
2,RMP_Login,5,753,0.000%,0.24563,0.307,14.74
3,Get_User_info,5,898,0.000%,0.24449,0.306,14.67
4,Rheem_getAppPreferences,5,653,0.000%,0.24824,0.310,14.89
5,Rheem_rm_manageUsers,5,1185,0.000%,0.24413,0.305,14.65
6,Rheem_rm_subscription_plans,10,767,0.000%,0.32782,0.412,19.67
7,Rheem_rm_deviceAlertsList,5,1474,0.000%,0.19751,0.247,11.85
8,Rheem_rm_alert_notification,10,975,0.000%,0.1166,0.146,7
9,Rheem_rm_userFeedback,5,691,0.000%,0.20472,0.256,12.28
10,Rheem_rheem_getAppPreferences,5,672,0.000%,0.20599,0.257,12.36
11,Rheem_rm_alertsOverview,5,728,0.000%,0.20612,0.258,12.37
12,Rheem_rm_deviceAlertsList(Lat_Long),5,23465,0.000%,0.08989,0.113,5.39
13,Rheem_rm_deviceAlertsList,5,10496,0.000%,0.12262,0.153,7.36
14,Rheem_rm_product_info,5,814,0.000%,0.30281,0.378,18.17
15,Rheem_rm_product_info_read,5,823,0.000%,0.29605,0.370,17.76
16,Rheem_rm_myrheemWarrantyOverview,5,1337,0.000%,0.2879,0.360,17.27
17,Rheem_rm_deviceTemperatureDetails,10,732,0.000%,0.24745,0.309,14.85
18,Rheem_rm_bidirectionaldisable,5,1064,0.000%,0.27532,0.344,16.52
19,Rheem_rm_stream_get_bidirectional_session,5,248,0.000%,0.28965,0.362,17.38
20,Rheem_rm_remoteAccessHistory,5,541,0.000%,0.28652,0.358,17.19
21,Rheem_rm_deviceNotes,5,700,0.000%,0.28201,0.353,16.92
22,Rheem_rm_deviceAlerts,5,986,0.000%,0.28085,0.351,16.85
23,Rheem_rm_deviceLocationContactOverview,5,1145,0.000%,0.27963,0.350,16.78
24,Rheem_rm_deviceHealthStatus,10,954,0.000%,0.48976,0.612,29.39
25,Rheem_rm_deviceAlertsList(LatestAlerts),5,329,0.000%,0.29471,0.368,17.68
26,Rheem_rm_deviceSchedule,5,1369,0.000%,0.27809,0.348,16.69
27,Rheem_rm_detailswarrantyOverview,5,644,0.000%,0.28817,0.360,17.29
28,Rheem_rm_myRheem,5,716,0.000%,0.28954,0.362,17.37
29,Rheem_rm_remoteAccessSessions,5,768,0.000%,0.29204,0.365,17.52
30,Rheem_rm_submitFeedback,5,1528,0.000%,0.28123,0.352,16.87
31,Rheem_rm_userSettings,5,1110,0.000%,0.28453,0.356,17.07
32,Find_my_device,5,11193,0.000%,0.17913,0.224,10.75
33,Logout,5,239,0.000%,0.34088,0.426,20.45

