Scenario,12.2 (Baseline),12.3,13.1,12.2 vs 12.3 (in %),12.2 vs 13.1 (in %),12.3 vs 13.1 (in %)
Login,1649,1932,1395,1.17,0.85,0.72
Get User Info,679,1828,2197,2.69,3.24,1.20
Device Alert Notification,589,1917,2316,3.25,3.93,1.21
Device Alert List,2100,1819,3055,0.87,1.45,1.68
Alert Overview,19713,2821,3770,0.14,0.19,1.34
Device Temperature Details,525,2595,2515,4.94,4.79,0.97
Device Notes,380,3109,2488,8.18,6.55,0.80
Device Alert Details,628,2297,1878,3.66,2.99,0.82
MyRheem Warranty Overview,1548,4191,4188,2.71,2.71,1.00
User Settings,373,1831,1758,4.91,4.71,0.96
All API (Average),2818.4,2434,2556,0.86,0.91,1.05

