Label,Samples,Average,Min,Max,StdDev,Error%,Throughput,KB/sec,AvgBytes
Rheem_rm_loginMetaData,10,801.00,781.00,853.00,19.87,0.00,0.48,3.54,7538.00
RMP_Login,10,990.00,769.00,1312.00,178.66,0.00,0.47,0.44,945.00
Get_User_info,10,1895.00,715.00,4053.00,1085.58,0.00,0.42,2.91,7051.00
Rheem_getAppPreferences,10,2069.00,806.00,4156.00,1176.55,0.00,0.39,0.58,1530.00
Rheem_rm_manageUsers,10,2018.00,678.00,4046.00,1241.42,0.00,0.37,0.23,625.00
Rheem_rm_subscription_plans,20,3135.00,835.00,9638.00,2686.70,0.00,0.47,0.30,648.00
Rheem_rm_deviceAlertsList,10,810.00,301.00,2370.00,577.47,0.00,0.34,0.22,668.00
Rheem_rm_alert_notification,20,2245.00,327.00,6147.00,2160.84,0.00,0.22,2.95,13825.00
Rheem_rm_userFeedback,10,1773.00,648.00,3860.00,1124.88,0.00,0.26,0.16,618.00
Rheem_rheem_getAppPreferences,10,1476.00,594.00,3587.00,991.99,0.00,0.26,0.39,1530.00
Rheem_rm_alertsOverview,10,4002.00,618.00,10546.00,3590.59,0.00,0.24,0.15,652.00
Rheem_rm_product_info,20,3220.00,618.00,12996.00,3736.49,0.00,0.25,0.15,606.00
Rheem_rm_product_info_read,10,3954.00,1385.00,9300.00,3039.92,0.00,0.26,0.52,2067.00
Rheem_rm_myrheemWarrantyOverview,10,5549.00,1257.00,12599.00,4286.47,0.00,0.22,0.74,3491.00
Rheem_rm_deviceTemperatureDetails,20,3882.00,323.00,12529.00,3923.72,0.10,0.15,0.23,1491.05
Rheem_rm_bidirectionaldisable,10,3193.00,601.00,8596.00,3226.29,0.00,0.23,0.20,877.20
Rheem_rm_stream_get_bidirectional_session,10,695.00,279.00,1830.00,447.90,0.00,0.23,0.13,586.20
Rheem_rm_remoteAccessHistory,10,2943.00,689.00,6099.00,2138.08,0.00,0.21,3.95,19323.00
Rheem_rm_deviceNotes,20,3310.00,584.00,12187.00,3570.58,0.00,0.19,0.14,765.00
Rheem_rm_deviceAlerts,10,7379.00,1117.00,14709.00,5864.42,0.00,0.18,14.95,84724.00
Rheem_rm_handleSystems,20,2226.00,309.00,6945.00,2407.01,0.00,0.21,0.86,4156.00
Rheem_rm_systemwidgets{getweather},10,21299.00,1383.00,33201.00,12822.46,0.30,0.13,0.09,672.20
Rheem_rm_systemwidgets{widgetread},10,5604.00,934.00,12100.00,3781.03,0.10,0.13,0.17,1352.60
Rheem_rm_deviceHealthStatus,10,6708.00,1183.00,11997.00,3190.85,0.10,0.13,0.50,3984.20
Rheem_rm_deviceSchedule,10,5466.00,1143.00,14896.00,3713.95,0.10,0.14,0.26,1855.70
Rheem_rm_detailswarrantyOverview,10,2013.00,324.00,4634.00,1659.58,0.20,0.18,0.15,862.60
Rheem_rm_systemwidgets{read},10,3861.00,331.00,10244.00,3289.28,0.30,0.18,0.21,1200.80
Rheem_rm_myRheem,10,1619.00,260.00,4393.00,1264.48,0.20,0.21,6.91,33850.60
Rheem_rm_remoteAccessSessions,10,1478.00,260.00,3898.00,1355.40,0.40,0.23,0.14,623.20
Rheem_rm_submitFeedback,10,1750.00,258.00,4472.00,1524.53,0.30,0.22,0.13,616.40
Rheem_rm_userSettings,10,1412.00,260.00,4398.00,1402.93,0.20,0.23,0.44,1998.60
Rheem_rm_findMyDevices,10,3195.00,258.00,9505.00,3106.55,0.60,0.23,0.17,781.20
Logout,10,376.00,254.00,1330.00,318.79,0.30,0.28,0.16,581.00

