Label,Samples,Average,Min,Max,StdDev,Error%,Throughput,KB/sec,AvgBytes
Login_Cont,20,9824.00,3291.00,28108.00,7395.07,0.00,0.31,5.22,17064.00
User_Profile_Cont,20,11669.00,1535.00,32405.00,8375.89,0.00,0.25,0.31,1273.00
Device_Management_Cont,20,40332.00,8814.00,77195.00,18217.98,0.00,0.13,2.34,17941.00
Device_Details_Cont,20,92601.00,34453.00,147033.00,26652.75,0.00,0.08,10.26,130057.85
System_Page_Cont,20,60287.00,30477.00,93643.00,17842.67,0.05,0.09,1.00,12000.80
Scheduling_Page_Cont,20,37756.00,5755.00,66155.00,18795.94,0.10,0.10,1.03,10022.85
User_Management_Cont,20,3912.00,255.00,12497.00,3853.10,0.20,0.16,5.32,33850.60
Remote_Sessions_Cont,20,2909.00,255.00,10572.00,2907.70,0.10,0.16,0.09,574.30
Faq_Feedback_Cont,20,6734.00,257.00,22801.00,7128.23,0.10,0.17,0.11,651.70
Settings_Cont,20,4973.00,255.00,18121.00,5390.08,0.15,0.20,0.41,2078.45
Find_my_device_Cont,20,6260.00,255.00,20940.00,7187.31,0.20,0.20,0.21,1047.40
Logout_Cont,20,297.00,255.00,764.00,112.44,0.10,0.26,0.14,541.00

