Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,1145,1536,1347,1995,2211,3121,1115,15406,0.175%,.31403,0.29,0.12
Get_User_info,1145,1952,1544,3665,4123,4877,696,12265,0.175%,.31400,2.28,0.22
Login_cont,1145,3488,3106,5282,5772,6817,1830,16143,0.175%,.31388,2.57,0.34
Rheem_rm_manageUsers,1143,1522,1276,2800,3155,3769,245,6419,0.175%,.31371,0.19,0.25
Rheem_rm_subscription_plans,2285,1664,1354,3091,3433,4080,243,9519,0.175%,.62693,4.77,0.45
User_Profile Cont,1143,3206,3111,5104,5799,6747,488,10780,0.175%,.31354,2.58,0.47
Rheem_rm_deviceAlertsList,1142,851,505,1788,2281,3331,244,7794,0.175%,.31441,0.21,0.23
Rheem_rm_alert_notification,2277,1295,867,2580,3108,3980,235,6865,0.176%,.62494,5.53,0.45
Rheem_rm_userFeedback,1142,1470,1273,2623,2960,3383,251,4787,0.175%,.31406,0.19,0.22
Rheem_rheem_getAppPreferences,1142,1482,1303,2686,2949,3478,249,4197,0.175%,.31396,0.46,0.24
Rheem_rm_alertsOverview ,1142,1514,1319,2682,2940,3585,249,4452,0.175%,.31392,0.20,0.23
Rheem_rm_deviceAlertsList(Lat_Long),1142,7192,5829,13322,16726,22094,282,28917,0.175%,.31349,373.63,0.27
Device _ Management_Cont,1142,15454,14493,21964,25137,30307,1777,38034,0.175%,.31317,379.46,1.63
Rheem_rm_deviceAlertsList ,1139,1622,1115,2885,3555,4837,728,15497,0.439%,.31411,0.20,0.25
Rheem_rm_product_info,1139,1526,1266,2741,3076,3851,263,11881,0.176%,.31399,0.19,0.26
Rheem_rm_product_info_read,1139,1518,1297,2749,2997,3596,286,8942,0.176%,.31388,0.51,0.24
Rheem_rm_deviceTemperatureDetails,2270,1867,1534,3472,3847,4717,237,10984,0.176%,.62481,0.78,0.54
Rheem_rm_bidirectionaldisable,1139,1748,1499,3205,3553,4095,236,6315,0.176%,.31368,0.20,0.28
Rheem_rm_stream_get_bidirectional_session,1139,326,278,424,514,765,242,7161,0.176%,.31373,0.18,0.26
Rheem_rm_remoteAccessHistory,1139,968,733,1890,2177,2858,243,3835,0.176%,.31371,0.17,0.25
Rheem_rm_deviceNotes,1138,1713,1482,3186,3567,4325,241,4721,0.176%,.31338,0.19,0.24
Rheem_rm_deviceAlerts,1137,2161,1638,4133,4706,5637,243,12876,0.176%,.31318,1.34,0.24
Rheem_rm_deviceLocationContactOverview,1134,1593,1328,2920,3285,3829,244,4720,0.176%,.31287,0.25,0.29
Rheem_rm_deviceHealthStatus,2267,1963,1727,3412,3793,4600,248,6173,0.176%,.62490,1.05,0.50
Rheem_rm_deviceAlertsList(LatestAlerts),1134,1029,598,2205,2813,4534,235,7761,0.176%,.31263,0.20,0.25
Device_Details_Cont,1139,19079,18845,24312,25612,31486,3812,40692,0.439%,.31325,6.99,3.30
Rheem_rm_deviceSchedule,1132,2657,2245,4396,4896,5799,241,13969,0.177%,.31261,0.54,0.26
Rheem_rm_detailswarrantyOverview,1132,1671,1403,3079,3417,4083,240,7657,0.177%,.31254,0.34,0.25
Scheduling_Page_Cont,1133,8376,8234,11474,12605,14703,1484,18265,0.177%,.31241,1.91,1.03
Rheem_rm_myRheem,1130,1415,1078,2347,2692,3568,790,12377,0.177%,.31209,0.94,0.22
User_Management_Cont,1130,1415,1078,2347,2692,3568,790,12377,0.177%,.31209,0.94,0.22
Rheem_rm_remoteAccessSessions,1129,739,593,1311,1475,1870,294,8977,0.177%,.31269,0.17,0.23
Remote_Sessions_Cont,1129,739,593,1311,1475,1870,294,8977,0.177%,.31269,0.17,0.23
Rheem_rm_userSettings,1129,1446,1203,2606,2879,3486,302,4237,0.177%,.31260,0.70,0.23
Settings_Cont,1129,1446,1203,2606,2879,3486,302,4237,0.177%,.31260,0.70,0.23
Rheem_rm_findMyDevices,1129,10550,10323,12504,12923,13853,297,17891,0.177%,.31178,0.35,0.23
Find_my_device_Cont,1129,10550,10323,12504,12923,13853,297,17891,0.177%,.31178,0.35,0.23
TOTAL,46619,3110,1541,9211,12482,21312,235,40692,0.189%,12.77217,790.48,15.32
