Label,#Samples,Average,Min,Max,Error %,Std. Dev.,Throughput,Received KB/sec,Sent KB/sec
Rheem_rm_loginMetaData,1,732,732,732,0.0,1.3661,0.4803,10.0445,0.4803
RMP_Login,1,755,755,755,0.0,1.3245,0.5342,1.1990,0.5342
Get_User_info,1,1158,1158,1158,0.0,0.8636,0.6139,13.9215,0.6139
Rheem_getAppPreferences,1,550,550,550,0.0,1.8182,1.4027,2.5462,1.4027
Login_Cont,1,3195,3195,3195,0.0,0.3121,0.6983,8.0460,0.6983
Rheem_rcp?id=rmp.filters,1,821,821,821,0.0,1.2180,0.8588,1.0658,0.8588
Rheem_rm_alert_notification,1,1706,1706,1706,0.0,0.5862,0.4442,0.3543,0.4442
Rheem_rm_devicesInstalled{Monthly},2,3699,3377,4021,0.0,0.4974,0.4002,0.6091,0.4002
Rheem_rm_connectivityBrkDwn{Monthly},1,3385,3385,3385,0.0,0.2954,0.2328,0.2028,0.2328
Rheem_rm_connectivityBrkDwn,1,3404,3404,3404,0.0,0.2938,0.2315,0.2017,0.2315
Rheem_rm_rheemSystems{Monthly},1,3780,3780,3780,0.0,0.2646,0.2054,0.6100,0.2054
Rheem_rm_devicetypeCount{All time},1,3813,3813,3813,0.0,0.2623,0.2054,0.1808,0.2054
Rheem_rm_devicesInstalled,1,3808,3808,3808,0.0,0.2626,0.2111,0.2693,0.2111
Rheem_rm_devicelocationBreakDown,1,3814,3814,3814,0.0,0.2622,0.2148,1.0170,0.2148
Rheem_rm_subscription_plans,1,3915,3915,3915,0.0,0.2554,0.1868,1.9309,0.1868
Rheem_rm_rheemSystems,1,4086,4086,4086,0.0,0.2447,0.1902,0.5693,0.1902
Rheem_rm_userFeedback,1,4109,4109,4109,0.0,0.2434,0.1744,0.1469,0.1744
Rheem_rm_devicelocationBreakDown{Monthly},1,4181,4181,4181,0.0,0.2392,0.1957,0.9140,0.1957
Rheem_rm_devicetypeCount{Monthly},1,4216,4216,4216,0.0,0.2372,0.1855,0.1628,0.1855
Home_Cont,1,52436,52436,52436,0.0,0.2365,2.7565,6.6678,2.7565
Rheem_rm_techSupport,1,30210,30210,30210,0.0,0.0331,0.0268,1.8821,0.0268
Rheem_rm_techSupport(Search_product_type),1,8212,8212,8212,0.0,0.1218,0.1195,1.8140,0.1195
Rheem_rm_techSupport(Search),1,936,936,936,0.0,1.0684,0.9828,1.3584,0.9828
Customer_Device_Database_Cont,1,39358,39358,39358,0.0,0.0254,0.0689,1.8552,0.0689
Logout,1,239,239,239,0.0,4.1841,2.5497,2.1288,2.5497
Logout_Cont,1,239,239,239,0.0,1.8519,1.1285,0.9422,1.1285
TOTAL,27,7053,239,52436,0.0,0.5704,0.7274,5.3875,0.7274

