API (14.1),# Samples,Average Time (MS),Error %,Throughput,API(13.3),#Samples,Average Time(ms),Error%,Throput
Login,1809,1352,0.06,0.5,User_Profile_Cont,1143,3206,0,0.31
Get_User_info,1809,341,0.06,0.5,User_Management_Cont,1130,1415,0,0.31
Login_cont,1809,1693,0.06,0.5,Settings_Cont,1129,1446,0,0.31
Rheem_rm_manageUsers,1808,385,0.06,0.5,Scheduling_Page_Cont,1133,8376,0,0.31
Rheem_rm_subscription_plans,3615,321,0.06,1,Rheem_rm_userSettings,1129,1446,0,0.31
User_Profile Cont,1808,702,0.06,0.5,Rheem_rm_userFeedback,1142,1470,0,0.31
Rheem_rm_deviceAlertsList,1808,402,0.06,0.5,Rheem_rm_subscription_plans,2285,1664,0,0.63
Rheem_rm_alert_notification,5398,904,0.06,1.5,Rheem_rm_stream_get_bidirectional_session,1139,326,0,0.31
Rheem_rm_userFeedback,1807,345,0.06,0.5,Rheem_rm_remoteAccessSessions,1129,739,0,0.31
Rheem_rheem_getAppPreferences,1807,347,0.06,0.5,Rheem_rm_remoteAccessHistory,1139,968,0,0.31
Rheem_rm_alertsOverview,1807,276,0.06,0.5,Rheem_rm_product_info_read,1139,1518,0,0.31
Rheem_rm_deviceAlertsList(Lat_Long),1805,3481,0.06,0.5,Rheem_rm_product_info,1139,1526,0,0.31
Device_Management_Cont,1805,5720,0.06,0.5,Rheem_rm_myRheem,1130,1415,0,0.31
Rheem_rm_deviceAlertsList,1802,1003,0.22,0.5,Rheem_rm_manageUsers,1143,1522,0,0.31
Rheem_rm_product_info,3599,587,0.08,1,Rheem_rm_findMyDevices,1129,10550,0,0.31
Rheem_rm_product_info_read,1802,268,0.06,0.5,Rheem_rm_deviceTemperatureDetails,2270,1867,0,0.62
Rheem_rm_deviceTemperatureDetails,3597,323,0.06,1,Rheem_rm_deviceSchedule,1132,2657,0,0.31
Rheem_rm_bidirectionaldisable,1802,335,0.06,0.5,Rheem_rm_deviceNotes,1138,1713,0,0.31
Rheem_rm_stream_get_bidirectional_session,1802,265,0.06,0.5,Rheem_rm_deviceLocationContactOverview,1134,1593,0,0.31
Rheem_rm_remoteAccessHistory,1802,330,0.06,0.5,Rheem_rm_deviceHealthStatus,2267,1963,0,0.62
Rheem_rm_deviceNotes,3598,397,0.06,1,Rheem_rm_deviceAlertsList(LatestAlerts),1134,1029,0,0.31
Rheem_rm_deviceAlerts,1802,556,0.06,0.5,Rheem_rm_deviceAlertsList(Lat_Long),1142,7192,0,0.31
Rheem_rm_deviceLocationContactOverview,1802,409,0.06,0.5,Rheem_rm_deviceAlertsList,1139,1622,0,0.31
Rheem_rm_deviceHealthStatus,3597,700,0.08,1,Rheem_rm_deviceAlertsList,1142,851,0,0.31
Rheem_rm_deviceAlertsList(LatestAlerts),1802,447,0.06,0.5,Rheem_rm_deviceAlerts,1137,2161,0,0.31
Device_Details_Cont,1802,5618,0.22,0.5,Rheem_rm_detailswarrantyOverview,1132,1671,0,0.31
Rheem_rm_handleSystems,3591,530,0.06,1,Rheem_rm_bidirectionaldisable,1139,1748,0,0.31
Rheem_rm_systemwidgets{getweather},1796,354,0.06,0.5,Rheem_rm_alertsOverview,1142,1514,0,0.31
Rheem_rm_systemwidgets{widgetread},1796,297,0.06,0.5,Rheem_rm_alert_notification,2277,1295,0,0.62
System_Page_Cont,1795,3015,0.11,0.5,Rheem_rheem_getAppPreferences,1142,1482,0,0.31
Rheem_rm_deviceSchedule,3584,1077,0.5,1,Remote_Sessions_Cont,1129,739,0,0.31
Rheem_rm_detailswarrantyOverview,1795,321,0.06,0.5,Login_cont,1145,3488,0,0.31
Rheem_rm_systemwidgets{read},1795,298,0.06,0.5,Login,1145,1536,0,0.31
Scheduling_Page_Cont,1795,2993,0.11,0.5,Get_User_info,1145,1952,0,0.31
Rheem_rm_myRheem,1795,952,0.22,0.5,Find_my_device_Cont,1129,10550,0,0.31
User_Management_Cont,1795,952,0.22,0.5,Device_Management_Cont,1142,15454,0,0.31
Rheem_rm_remoteAccessSessions,1795,367,0.06,0.5,Device_Details_Cont,1142,19079,0,0.31
Remote_Sessions_Cont,1795,367,0.06,0.5,,,,,
Rheem_rm_submitFeedback,1794,919,0.06,0.5,,,,,
Faq_Feedback_Cont,1794,919,0.06,0.5,,,,,
Rheem_rm_userSettings,1794,374,0.06,0.5,,,,,
Settings_Cont,1794,374,0.06,0.5,,,,,
Rheem_rm_findMyDevices,1794,10716,0.06,0.5,TOTAL,46622,3110,0,13
Find_my_device_Cont,1794,10716,0.06,0.5,,,,,
Rheem_rm_homeOwner,1792,2497,0.06,0.5,,,,,
Rheem_rm_customerDetails{dashboardOverview},1790,613,0.56,0.5,,,,,
Rheem_rm_customerDetails{deviceAlertHistory},1789,688,0.06,0.5,,,,,
Rheem_rm_healthcheck,1789,280,0.06,0.5,,,,,
Home_Owner_Management_Cont,1789,6758,1.4,0.5,,,,,
TOTAL,104344,1372,0.12,28.98,,,,,
