Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,1809,1352,1133,15405,780.24,0.055%,.50250,0.46,0.20,946.2
Get_User_info,1809,341,282,1982,80.33,0.055%,.50265,3.80,0.35,7743.1
Login_cont,1809,1693,1424,16164,806.22,0.055%,.50246,4.26,0.55,8689.3
Rheem_rm_manageUsers,1808,385,251,11948,274.38,0.055%,.50250,0.31,0.39,625.0
Rheem_rm_subscription_plans,3615,321,248,13874,236.64,0.055%,1.00474,8.10,0.73,8253.8
User_Profile Cont,1808,702,499,12509,288.81,0.055%,.50245,4.36,0.76,8878.9
Rheem_rm_deviceAlertsList,1808,402,252,2150,131.82,0.055%,.50250,0.33,0.36,668.0
Rheem_rm_alert_notification,5398,904,249,12773,745.87,0.056%,1.49888,245.72,1.09,167873.1
Rheem_rm_userFeedback,1807,345,253,13193,302.99,0.055%,.50258,0.30,0.36,618.0
Rheem_rheem_getAppPreferences,1807,347,251,4685,115.23,0.055%,.50259,0.74,0.38,1514.6
Rheem_rm_alertsOverview ,1807,276,250,750,24.56,0.055%,.50259,0.32,0.37,652.0
Rheem_rm_deviceAlertsList(Lat_Long),1805,3481,253,46338,3009.92,0.055%,.50176,663.59,0.43,1354249.1
Device _ Management_Cont,1805,5720,1760,48599,3174.18,0.055%,.50137,673.69,2.62,1375952.1
Rheem_rm_deviceAlertsList ,1802,1003,752,15506,697.50,0.222%,.50236,0.32,0.39,654.9
Rheem_rm_product_info,3599,587,249,15367,459.75,0.083%,1.00349,0.59,0.81,606.8
Rheem_rm_product_info_read,1802,268,250,1532,38.02,0.055%,.50244,0.82,0.39,1680.5
Rheem_rm_deviceTemperatureDetails,3597,323,249,9149,163.81,0.056%,1.00292,1.25,0.87,1279.4
Rheem_rm_bidirectionaldisable,1802,335,247,15192,453.12,0.055%,.50243,0.32,0.44,657.0
Rheem_rm_stream_get_bidirectional_session,1802,265,248,864,22.28,0.055%,.50244,0.29,0.42,591.1
Rheem_rm_remoteAccessHistory,1802,330,249,14209,350.74,0.055%,.50244,0.27,0.40,558.1
Rheem_rm_deviceNotes,3598,397,250,9041,194.82,0.056%,1.00321,0.62,0.77,629.0
Rheem_rm_deviceAlerts,1802,556,249,35264,880.91,0.055%,.50244,2.15,0.39,4385.0
Rheem_rm_deviceLocationContactOverview,1802,409,249,11682,298.85,0.055%,.50245,0.41,0.47,825.9
Rheem_rm_deviceHealthStatus,3597,700,248,33632,1060.00,0.083%,1.00295,1.68,0.81,1714.3
Rheem_rm_deviceAlertsList(LatestAlerts),1802,447,250,2824,153.66,0.055%,.50244,0.32,0.40,650.0
Device_Details_Cont,1802,5618,3740,51041,2238.94,0.222%,.50175,11.69,5.29,23854.9
Rheem_rm_handleSystems,3591,530,257,15761,391.48,0.056%,1.00347,3.68,0.78,3756.9
Rheem_rm_systemwidgets{getweather},1796,354,257,4541,111.31,0.056%,.50190,0.32,0.38,656.0
Rheem_rm_systemwidgets{widgetread},1796,297,260,918,30.35,0.056%,.50190,0.30,0.40,620.0
System_Page_Cont,1795,3015,2072,18158,820.72,0.111%,.50189,4.91,2.34,10027.4
Rheem_rm_deviceSchedule,3584,1077,0,34010,678.50,0.502%,1.00252,1.62,0.83,1659.3
Rheem_rm_detailswarrantyOverview,1795,321,258,10048,237.86,0.056%,.50231,0.56,0.40,1135.8
Rheem_rm_systemwidgets{read},1795,298,259,4736,110.18,0.056%,.50232,0.30,0.40,620.0
Scheduling_Page_Cont,1795,2993,1811,38906,1416.54,0.111%,.50190,3.40,2.06,6940.1
Rheem_rm_myRheem,1795,952,330,15444,617.06,0.223%,.50224,1.52,0.35,3095.7
User_Management_Cont,1795,952,330,15444,617.06,0.223%,.50224,1.52,0.35,3095.7
Rheem_rm_remoteAccessSessions,1795,367,251,13718,317.54,0.056%,.50224,0.27,0.36,558.1
Remote_Sessions_Cont,1795,367,251,13718,317.54,0.056%,.50224,0.27,0.36,558.1
Rheem_rm_submitFeedback,1794,919,250,13094,577.75,0.056%,.50237,0.32,0.41,644.0
Faq_Feedback_Cont,1794,919,250,13094,577.75,0.056%,.50237,0.32,0.41,644.0
Rheem_rm_userSettings,1794,374,249,32034,813.44,0.056%,.50245,1.14,0.37,2319.1
Settings_Cont,1794,374,249,32034,813.44,0.056%,.50245,1.14,0.37,2319.1
Rheem_rm_findMyDevices,1794,10716,249,44922,2515.90,0.056%,.50126,0.56,0.38,1146.8
Find_my_device_Cont,1794,10716,249,44922,2515.90,0.056%,.50126,0.56,0.38,1146.8
Rheem_rm_homeOwner,1792,2497,251,38492,2118.25,0.056%,.50289,129.44,0.38,263566.2
Rheem_rm_customerDetails{dashboardOverview},1790,613,0,34544,1701.74,0.559%,.50279,3.90,0.42,7933.4
Rheem_rm_customerDetails{deviceAlertHistory},1789,688,251,35322,1307.86,0.056%,.50321,0.59,0.42,1191.7
Rheem_rm_healthcheck,1789,280,250,10702,336.73,0.056%,.50340,0.32,0.32,646.0
Home_Owner_Management_Cont,1789,6758,1504,43159,3352.43,1.397%,.50238,373.45,2.33,761201.0
TOTAL,104344,1372,0,51041,2488.59,0.118%,28.93008,2147.09,35.40,75997.7
