API,# Samples,Average,Error %,Throughput
Login,2123,1420,0.09%,0.59
Get_User_info,2121,344,0.14%,0.59
Rheem_rm_manageUsers,2121,382,0.14%,0.59
Rheem_rm_subscription_plans,4239,318,0.12%,1.18
Rheem_rm_deviceAlertsList,2119,398,0.09%,0.59
Rheem_rm_alert_notification,6347,951,0.10%,1.76
Rheem_rm_userFeedback,2119,343,0.09%,0.59
Rheem_rheem_getAppPreferences,2119,348,0.09%,0.59
Rheem_rm_alertsOverview,2119,281,0.09%,0.59
Rheem_rm_deviceAlertsList(Lat_Long),2119,3529,0.09%,0.59
Rheem_rm_product_info,4230,592,0.10%,1.18
Rheem_rm_product_info_read,2117,272,0.09%,0.59
Rheem_rm_deviceTemperatureDetails,4230,319,0.12%,1.18
Rheem_rm_bidirectionaldisable,2117,319,0.09%,0.59
Rheem_rm_stream_get_bidirectional_session,2117,266,0.14%,0.59
Rheem_rm_remoteAccessHistory,2117,322,0.09%,0.59
Rheem_rm_deviceNotes,4230,395,0.12%,1.18
Rheem_rm_deviceAlerts,2117,1699,0.14%,0.59
Rheem_rm_deviceLocationContactOverview,2117,409,0.09%,0.59
Rheem_rm_deviceHealthStatus,4230,663,0.12%,1.18
Rheem_rm_deviceAlertsList(LatestAlerts),2117,445,0.09%,0.59
Rheem_rm_handleSystems,4226,564,0.10%,1.18
Rheem_rm_systemwidgets{getweather},2113,357,0.10%,0.59
Rheem_rm_systemwidgets{widgetread},2113,308,0.14%,0.59
Rheem_rm_deviceSchedule,4220,1119,0.19%,1.18
Rheem_rm_detailswarrantyOverview,2113,320,0.14%,0.59
Rheem_rm_systemwidgets{read},2113,298,0.14%,0.59
Rheem_rm_myRheem,2113,934,0.10%,0.59
Rheem_rm_remoteAccessSessions,2113,784,0.19%,0.59
Rheem_rm_userSettings,2113,349,0.10%,0.59
Rheem_rm_findMyDevices,2113,3146,0.10%,0.59
Rheem_rm_homeOwner,2113,2308,0.14%,0.59
Rheem_rm_customerDetails{dashboardOverview},2112,498,0.33%,0.59
Rheem_rm_customerDetails{deviceAlertHistory},2111,618,0.10%,0.59
Rheem_rm_healthcheck,2106,1359,0.10%,0.59
TOTAL,118455,1208,0.13%,32.86
