API,RPS (13.3),RPS (14.1),RPS (14.2)
Login,0.31,0.50,0.59
Get_User_info,0.31,0.50,0.59
Rheem_rm_manageUsers,0.31,0.50,0.59
Rheem_rm_subscription_plans,0.63,1.00,1.18
Rheem_rm_deviceAlertsList,0.31,0.50,0.59
Rheem_rm_alert_notification,0.62,1.50,1.76
Rheem_rm_userFeedback,0.31,0.50,0.59
Rheem_rheem_getAppPreferences,0.31,0.50,0.59
Rheem_rm_alertsOverview,0.31,0.50,0.59
Rheem_rm_deviceAlertsList(Lat_Long),0.31,0.50,0.59
Rheem_rm_product_info,0.31,1.00,1.18
Rheem_rm_product_info_read,0.31,0.50,0.59
Rheem_rm_deviceTemperatureDetails,0.62,1.00,1.18
Rheem_rm_bidirectionaldisable,0.31,0.50,0.59
Rheem_rm_stream_get_bidirectional_session,0.31,0.50,0.59
Rheem_rm_remoteAccessHistory,0.31,0.50,0.59
Rheem_rm_deviceNotes,0.31,1.00,1.18
Rheem_rm_deviceAlerts,0.31,0.50,0.59
Rheem_rm_deviceLocationContactOverview,0.31,0.50,0.59
Rheem_rm_deviceHealthStatus,0.62,1.00,1.18
Rheem_rm_deviceAlertsList(LatestAlerts),0.31,0.50,0.59
Rheem_rm_handleSystems,,1.00,1.18
Rheem_rm_systemwidgets{getweather},,0.50,0.59
Rheem_rm_systemwidgets{widgetread},,0.50,0.59
Rheem_rm_deviceSchedule,0.31,1.00,1.18
Rheem_rm_detailswarrantyOverview,,0.50,0.59
Rheem_rm_systemwidgets{read},,0.50,0.59
Rheem_rm_myRheem,0.31,0.50,0.59
Rheem_rm_remoteAccessSessions,0.31,0.50,0.59
Rheem_rm_userSettings,0.31,0.50,0.59
Rheem_rm_findMyDevices,0.31,0.50,0.59
Rheem_rm_homeOwner,,0.50,0.59
Rheem_rm_customerDetails{dashboardOverview},,0.50,0.59
Rheem_rm_customerDetails{deviceAlertHistory},,0.50,0.59
Rheem_rm_healthcheck,,0.50,0.59
TOTAL,13.00,28.98,32.00

